created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 05 02:45:58 +0000 2024;1764844777818963984;"@NoviBudi78 @aniesbaswedan Bukan capres gagal tp digagalkan...dr semua penjuru";0;1;0;0;in;996264391677919232;1764661795393007694;dwiirwan14;https://twitter.com/dwiirwan14/status/1764844777818963984
Tue Mar 05 02:44:26 +0000 2024;1764844391406133667;"Sebab, program andalan pasangan capres-cawapres nomor urut 02 Prabowo-Gibran itu dijalankan tanpa ada dasar hukum yang jelas.";0;1;0;0;in;1660829479340740608;1764844387199340703;ilhamyoid;https://twitter.com/ilhamyoid/status/1764844391406133667
Tue Mar 05 02:44:25 +0000 2024;1764844387199340703;"Anies soal Pemerintah Uji Coba Program Makan Siang Gratis: Enggak Ada Dasar Hukumnya.  Calon presiden (capres) nomor urut 01, Anies Baswedan, mengkritik pemerintah yang secara terang-terangan telah memulai simulasi program makan siang gratis terhadap para siswa. https://t.co/u6w5PgEZMQ";0;1;0;0;in;1660829479340740608;1764844387199340703;ilhamyoid;https://twitter.com/ilhamyoid/status/1764844387199340703
Tue Mar 05 02:43:13 +0000 2024;1764844082059493712;"@easegura Hey, Que pasó! Les salió sin fondos el cheque de CAPRES ? Y que no era Singapur pue!";0;0;0;0;es;1563055016906485761;1764836767960621413;MatrixR58140141;https://twitter.com/MatrixR58140141/status/1764844082059493712
Tue Mar 05 02:43:11 +0000 2024;1764844076300681591;"@itsquaileggs Kata temenku yang pendukungnya, iya mereka nggak mundur dari jabatan sekarang, makanya nggak bisa dialog. Lah sengaja kan?  Lucunya dia bilang, "padahal kan kita butuh ngobrol sama menteri dan walikota kita". Nggaaaak, kalo dialog ya mereka sebagai capres cawapres kaliii.";0;0;0;0;in;417048058;1764485045916668327;RahmaPil;https://twitter.com/RahmaPil/status/1764844076300681591
Tue Mar 05 02:39:44 +0000 2024;1764843208335597933;"@ekky1995 Lu kira milih capres cawapres yg diliat "siapa orgnya"? Yg dilihat itu kulitas bukan orang, melihat visi-misi bukan "dia anak siapa".";0;0;0;0;in;1357946770798518272;1764505745801015720;rissetya22;https://twitter.com/rissetya22/status/1764843208335597933
Tue Mar 05 02:37:28 +0000 2024;1764842638900162658;"Pak @prabowo ,aduh, kok begini capres yah,gak berkelas .Kl mmg anda maksa jadi Presiden,suruh Mentri Urusan Masak Memasak aja pak.";0;0;0;0;in;1603746480707104768;1764842638900162658;lopefutin;https://twitter.com/lopefutin/status/1764842638900162658
Tue Mar 05 02:35:41 +0000 2024;1764842187743965250;"Beras naik 1000 perak aja pada jerit menyalahkan pemerintah. Beras sampai kedapur kt perlu proses panjang, dimulai dari petani bikin bibitnya sampai pendistrusian. Tp sy tau, itu hanya untuk senjata capres yg kalah  menyerang Jokowi. Kalah kok ngeyel gak isin.";1;2;0;3;in;1383301453528244224;1764842187743965250;sukmawijaya91;https://twitter.com/sukmawijaya91/status/1764842187743965250
Tue Mar 05 02:35:41 +0000 2024;1764842187110719916;"@chansdaughter00 Mana yang dari kmaren koar2 ngebelain, katanya gamungkin capres bikin program tanpa riset duluan 😌";0;0;0;0;in;1572056372904333312;1764792708584067545;rainssoliloquy;https://twitter.com/rainssoliloquy/status/1764842187110719916
Tue Mar 05 02:35:34 +0000 2024;1764842158547456310;"@Lynnnnnn_67 @alvaro_noz @brandal_baru @ramsezrr ‘Konteks’nya pada saat itu ada ‘tawaran’ dari pihak lain utk jd capres, maka langkahnya udh tepat dengan menolak karena saat itu sedang ada komitmen dengan pak Prabowo as partai pengusung di Pilkada https://t.co/mAqNe5ANaU";0;0;0;0;in;1301834411944546306;1764111879717392713;3piscesgrill;https://twitter.com/3piscesgrill/status/1764842158547456310
